Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Country / Region,Region,Total Workers,Line Workers,% Female Workers
"Vertex One Apparel Phils., Inc.",FINISHED GOODS,Apparel,Nike,,SPORTS CITY,Crescent Road Lot 8 Block 4,Lapu Lapu City,Cebu,6015,Philippines,N ASIA,2151,1329,40
Avery Dennison RIS Vietnam Co. Ltd.,MATERIALS,Footwear,Nike,,AVERY DENNISON,LOT E01 TRUNG TAM ROAD,Can Giuoc,Long An,850000,Vietnam,SE ASIA,2560,1926,42
"Tremon Sporting Goods Enterprise Co.,Ltd",FINISHED GOODS,Equipment,Nike,,TREMON,Road No 5 Trang Bang Industrial Park,Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,872,748,48
"Huajin Textile Printing &Dyeing Co.,LTD",MATERIALS,Footwear,Converse,,HUAJIN,No 1688 Huajin Street,Linyi County,Shanxi,44100,China,N ASIA,667,491,55
MAS KREEDA PDC & MEC,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Lot 49 58 59 BEPZ,Colombo,Colombo,42000,Sri Lanka,S ASIA,288,190,85
TRIMCO GROUP (HONG KONG) CO LTD,MATERIALS,Apparel,Nike,,TRIMCO GROUP,Flat G 8 Floor City Industrial Complex,Kwai Chung,Guangdong,999077,China,N ASIA,186,34,70
MAS KREEDA Synergy ,FINISHED GOODS,Apparel,Nike,Collegiate,MAS HOLDINGS,A3 Seethawaka Export Processing zone,Avissawella,Colombo,10700,Sri Lanka,S ASIA,2556,2411,65
PT DAEWON ECO INDONESIA,MATERIALS,Footwear,Nike,,DAEWON,Jl Pinang Blok F23 No 11E and 11F Delta Silicon 3,Bekasi,Jawa Barat,17530,Indonesia,S ASIA,37,20,9
Cooperativa Textil Seuca Ltda.,FINISHED GOODS,Apparel,Converse,,COOPERATIVA TEXTIL SEUCA,Las Heras 513,Guaymallen,Mendoza,,Argentina,AMERICAS,21,17,80
Ha Noi Garment No. 40 Joint Stock Company,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,88 Ha Dinh Thanh Xuan Dist,Ha Noi City,Ha Noi,800000,Vietnam,SE ASIA,80,66,80
Ajara Textile Ltd,FINISHED GOODS,Apparel,Nike,,MILTEKS,20 Gagarini street Rustavi,Rustavi,Tbilisi,3700,Georgia,EMEA,1142,1049,97
"JOY VINA FASHION CO., LTD",FINISHED GOODS,Apparel,Converse,,JOY VINA FASHION,Tu Dong Village,Hung Yen,Hung Yên,39000,Vietnam,SE ASIA,421,395,0
"Long Yue Shoes Industrial Hui Zhou Co.,Ltd.",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,DEAN SHOES,Longting Industrial Zone Longxi Town Boluo County,Huizhou,Guangdong,516000,China,N ASIA,441,372,70
"JIAXING QUANG VIET GARMENT CO., LTD.",FINISHED GOODS,Apparel,Nike,,QUANG VIET,Pingxingxian Tongxinduan 318 Xindai Town,Ping Hu,Zhejiang,314211,China,N ASIA,1148,978,62
"PREMIER GLOBAL (VIETNAM) GARMENT FACTORY CO., LTD",FINISHED GOODS,Apparel,Nike,,NICE APPAREL,LOT C  STREET 1 DONG AN INDUSTRIAL PARK BINH HOA WARD,THUAN AN CITY,Bình Duong,82000,Vietnam,SE ASIA,1223,1069,68
"WP Sports (Cambodia) Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,"WP SPORTS (CAMBODIA) CO., LTD.","National Road 01, Km151, Kampout Chrok Village","Sangkat Prey Angkunh, Bavet City",Svaay Rieng,855,Cambodia,SE ASIA,30,23,95
"CCH TOP VN CO., LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,CHUAN CHENG,Tan Thuan Road Tan Thuan,HO CHI MINH,Ho Chi Minh,70000,Vietnam,SE ASIA,1737,1653,85
Style Textile(Pvt.) Limited-SAP,MATERIALS,Apparel,Nike,Collegiate,STYLE TEXTILE,Two and half Km off Manga Raiwind Road,Kasur/Lahore,Punjab,55270,Pakistan,S ASIA,12824,12212,1
Jade Apparel Industries SAE,FINISHED GOODS,Apparel,Nike,,YESIM,New Borg El Arab city,Alexandria,Ad Daqahliyah,21934,Egypt,EMEA,1191,616,20
Gain Lucky (Vietnam) Limited,MATERIALS,Apparel,Nike,,SHENZHOU,NO 40 6 N14 Street,Phuoc Dong Ward,Tây Ninh,80700,Vietnam,SE ASIA,9800,9500,46
PONY LEATHER CORPORATION (TAIWAN),MATERIALS,Footwear,Nike,,PONY LEATHER CORPORATION,NO 191 SEC 3 CHUNG SHAN ROAD,Changhua,Changhua,512,Taiwan,N ASIA,250,190,40
PT Pratama Abadi Industri,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jl. Raya Serpong Km. 7,Tangerang Selatan,Banten,15325,Indonesia,S ASIA,5725,4538,83
Taitat Putra Rejeki,FINISHED GOODS,Equipment,Converse,,PT MAP,JL. Industri No. 54 Citeureup Kab. Bogor,Bogor,Jawa Barat,16110,Indonesia,S ASIA,67,50,75
"Xiamen Kaiyuan Technology Co.,Ltd",FINISHED GOODS,Apparel,Nike,,XIAMEN KAIYUAN,2nd floor No 250 Jinting North Road,Xiamen,Fujian,361023,China,N ASIA,32,26,77
"PHUC TAI TAY NINH CO., LTD",FINISHED GOODS,Footwear,Nike,,SPORTS GEAR,Lot B7 Tan Hoi Industrial cluster,Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,410,394,85
Avery Dennison RIS Italia S.r.l.,FINISHED GOODS - COMPONENTS,Footwear,Nike,,AVERY DENNISON,Strada Provinciale Bonifica 39 41,Ancarano,Teramo,64010,Italy,EMEA,384,241,42
AVERY DENNISON RIS HONDURAS S DE R,FINISHED GOODS - COMPONENTS,Apparel,Nike,,AVERY DENNISON,ZIP BUFALO,Villanueva,Cortés,504,Honduras,AMERICAS,950,800,35
Jade Apparel Industries,FINISHED GOODS,Apparel,Nike,,YESIM,3RD INDUSTRIAL ZONE,ALEXANDRIA,AI Iskandariyah,21533,Egypt,EMEA,950,683,34
"Yichun Yisen Industry Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,,POU CHEN,Economic and Technological Development Zone,Yichun city,Jiangxi,336000,China,N ASIA,3159,2734,98
PT MAS ARYA INDONESIA,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Tugu Wijaya Road VI 7 Kawasan Industri,Semarang,Jawa,50181,Indonesia,S ASIA,2164,1899,100
"Fujian Lifeng Footwear Industrial Development CO.,LTD.",FINISHED GOODS,Footwear,Nike,,FENG TAY,Wutang Town Hanjiang District Putian City Fujian Province,Putian,Fujian,351119,China,N ASIA,3742,3126,75
Ajara Textile Ltd,FINISHED GOODS,Apparel,Nike,,MILTEKS,31 Motserelia Str,Poti,Samegrelo-Zemo Sva,4400,Georgia,EMEA,1466,1352,92
WELLPOWER SPORTING GOODS CO LTD,FINISHED GOODS,Equipment,Nike,Collegiate,WELLPOWER,NO 112 LIAOFU ROAD,Dongguan,Guangdong,523425,China,N ASIA,680,500,74
"HONG SHENG LEATHER DONGGUAN IND. CO., LTD",FINISHED GOODS,Equipment,Nike,Collegiate,GUANG DER,No25,Dong Guan,Guangdong,523121,China,N ASIA,898,617,66
Stretchline (Zhongshan) Limited,MATERIALS,Apparel,Nike,,STRETCHLINE,Industrial area,Zhongshan,Guangdong,528459,China,N ASIA,518,471,34
PT. CCH INDONESIA,FINISHED GOODS,Apparel,Nike,,CHUAN CHENG,Jl Desa Giriasih No 16,Bandung Barat,Jawa Barat,40552,Indonesia,S ASIA,1771,1624,61
SongSen Garment Suzhou Ltd,FINISHED GOODS,Apparel,Nike,,RAMATEX,168 Liu Feng Road,Suzhou,Jiangsu,215124,China,N ASIA,384,359,80
YKK (THAILAND) CO LTD,MATERIALS,Apparel,Nike,,YKK,689 Sukhumvit Rd KM 35,Samutprakarn,Samut Prakan,10280,Thailand,SE ASIA,472,262,1
"NAN YANG GARMENT CO.,LTD",FINISHED GOODS,Apparel,Nike,,NAN YANG,166 168 170 172 Moo 1,Sampran,Nakhon Pathom,73110,Thailand,SE ASIA,993,986,65
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA Las Flores,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Calle El Molino 134 Sector Industrial Las Flores,Las Flores,Buenos Aires,7200,Argentina,AMERICAS,130,97,35
PT. CHANGSHIN  REKSA JAYA,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Kp Karang Mekar RT 002 RW 008,GARUT,Jawa Barat,44152,Indonesia,S ASIA,10776,10235,97
Higuchi Kaban Kobo ,FINISHED GOODS,Equipment,Nike,,CROSTER,2-4-18 Motogo,Saitama,Saitama,,Japan,N ASIA,20,16,50
Viet Long Giang Garment Joint Stock Company ,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Highway 91 Group 9,Can Tho City,Can Tho,900000,Vietnam,SE ASIA,1189,1037,78
"Shishi Hongting Clothing Co., LTD",FINISHED GOODS,Apparel,Nike,,SHISHI HONGTING,2 Fuyuan West Road Shishi City Fujian province China,shishi,Fujian,362799,China,N ASIA,145,111,77
"Wilson Leather Cambodia Co., LTD.",FINISHED GOODS,Equipment,Nike,,WILSON LEATHER CAMBODIA,THLORK VILLAGE,Samraong Tong District,Kampong Spueu,50113,Cambodia,SE ASIA,1295,894,58
"Green TG Co., Ltd",FINISHED GOODS,Apparel,Nike,,GREEN TEXTILES,"Lot AIII-11, Tan Huong Industrial Park , Tan Huong Ward,",Tien Giang,Tin Giang,82000,Vietnam,SE ASIA,707,618,83
TOPSHOES IND CALCADOS SA,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,RODOVIA CE 377 SN,QUIXERE,Ceará,6.292e+007,Brazil,AMERICAS,850,713,54
"Hao’s Fitness Equipment (Shanghai) Co., Ltd. TRADING LTD",FINISHED GOODS,Equipment,Nike,,JOSH SHANGHAI INDUSTRIAL,No188 Gangde Road Songjiang District Shanghai,Shanghai,Shanghai,201616,China,N ASIA,41,35,30
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,JIXIAN ROAD,SHAOYANG CITY,Hunan,422000,China,N ASIA,4564,3985,84
Ningbo Eastex,FINISHED GOODS,Apparel,Converse,Collegiate,NINGBO EASTEX,No 218 Shun Tai Road Zhenhai District,Ningbo,Zhejiang,32151,China,N ASIA,180,153,50
"Chang Wong Industrial Co., Ltd.",FINISHED GOODS,Equipment,Nike,,CHANG WONG INDUSTRIAL,No 139 Ln 92 Feng Nan St,Taichung City,Taichung,420012,Taiwan,N ASIA,31,23,30
"The Haddad Apparel Wuxi, Co., LTD",FINISHED GOODS,Apparel,Nike,,HADDAD,Floor 4 No 28 19 Nanhu Center Road,Wuxi,Jiangsu,214125,China,N ASIA,66,43,81
Pou Chen Vietnam Enterprise Ltd.,FINISHED GOODS,Footwear,Nike,,POU CHEN,"Nguyen Ai Quoc Street, An Hoa Quarter, Hoa An Ward,",Bien Hoa City,Ðng Nai,76113,Vietnam,SE ASIA,16060,12339,83
"A & K Designs, Inc.",FINISHED GOODS,Apparel,Nike,Collegiate,A & K DESIGNS,8564 NE Alderwood Road,Portland,Oregon,97220,USA,AMERICAS,149,133,73
Sewing Jonah,FINISHED GOODS,Apparel,Nike,,SEWING JONAH,11 71 8 Chome Chikami Minami Ku,Kumamoto -city,Kumamoto,,Japan,N ASIA,36,33,87
PT Sport Glove Indonesia ,FINISHED GOODS,Equipment,Nike,,PT SPORT,Dusun Krandon Desa Pandowoharjo Sleman Yogyakarta Indonesia,Sleman,Yogyakarta,55512,Indonesia,S ASIA,1744,1510,76
PRIME ASIA (VIETNAM),MATERIALS,Footwear,Nike,,PRIME ASIA,LOT V 2 MY XUAN A2 INDUSTRIAL ZONE TAN THANH DISTRICT,VungTau,Bà Ra - Vung Tàu,78000,Vietnam,SE ASIA,1428,940,58
"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS,Footwear,Nike,,FENG TAY,SONG MAY INDUSTRIAL ZONE BAC SON WARD,TRANG BOM DISTRICT,Ðng Nai,76313,Vietnam,SE ASIA,10746,9390,68
TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,Footwear,Nike,,TAEKWANG,"Hiep Thanh Commercial Area, Loi Thuan Commune",Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,7039,6378,77
"Papillion Textile (Cambodia) Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,TUNTEX,Vattanac II Industry Park National Road No 3,Phnom Penh,Phnom Penh,120505,Cambodia,SE ASIA,1260,1154,95
"Fujian Zhuojian Garment Technology Co., Ltd",FINISHED GOODS,Apparel,Nike,,FUJIAN ZHUOJIAN,Floor5 No4JinlongRoad,Quanzhou,Fujian,362712,China,N ASIA,90,80,50
"Hip Keung (Cambodia) Manufacturing Co., Ltd.",FINISHED GOODS,Apparel,Nike,,HIP KEUNG,"Preah Khe Village Kahang Commune,Phnom Penh,Kampong Spueu,50802",Phnom Penh,Kampong Spueu,50802,Cambodia,SE ASIA,803,731,80
East Wind Footwear Company Limited (India Branch) - Unit I,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot No 3D Unit I SIPCOT Industrial Park,Tamil Nadu,Tamil Nadu,631701,India,S ASIA,4769,4578,69
PT Nikomas Gemilang,FINISHED GOODS,Footwear,Nike,,POU CHEN,Jalan Raya Serang KM71 Desa Tambak Kibin,Serang,Banten,42186,Indonesia,S ASIA,23522,19181,84
Supertex El Salvador S.A. de C.V.,FINISHED GOODS,Apparel,Nike,,SUPERTEX,Km 76 5 By Pass Norte,Chalchuapa,Santa Ana,2205,El Salvador,AMERICAS,2643,2041,68
"JINGNING XUANCHEN TECHNOLOGY CO., LTD.",FINISHED GOODS,Apparel,Nike,,JINGNING XUANCHEN TECHNOLOGY,99 Tuanjie East Road Hongxin Street Jingning County,Lishui,Zhejiang,323500,China,N ASIA,50,44,85
"QINGDAO MAITE FITNESS EQUIPMENT CO.,LTD",FINISHED GOODS,Equipment,Nike,,QINGDAO MAITE,500m North of Yangshankuang Village,Qingdao,Shandong,266205,China,N ASIA,16,8,13
"Unipax Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,HWASEUNG CROWN,Plot 1012 101 4 Amata Rd 3,Bien Hoa City,Ðng Nai,2513,Vietnam,SE ASIA,1900,1600,98
SAMBU FINE CHEMICAL CO LTD (KOREA),MATERIALS,Footwear,Nike,,SAMBU FINE CHEMICAL,167 SEOBU RO 1637 BEON GIL,Gyungnam,Gyeongsangnamdo,50888,South Korea,N ASIA,105,50,19
PT Victory Chingluh Indonesia,FINISHED GOODS,Footwear,Nike,,CHING LUH,"Jl. Otonom Pasar Kemis No.48/49 RT.003/RW.004, Pasar Kemis",Tangerang,Banten,15560,Indonesia,S ASIA,15295,13167,74
"Dona Pacific (Vietnam) Co., Ltd.",FINISHED GOODS,Footwear,Nike,,FENG TAY,Song May Industrial Zone Bac Son Ward,Dong Nai,Ðng Nai,76313,Vietnam,SE ASIA,7271,6950,60
Ningbo Bell Garment Industrial Co. Ltd,FINISHED GOODS,Apparel,Nike,,NINGBO BELL,No 422 Jianghu Road Jiangbei Investment Zone C,Ningbo,Zhejiang,315033,China,N ASIA,120,97,74
Viet Tien Garment Corporation,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,7 Le Minh Xuan,Ho Chi Minh,Ho Chi Minh,7000,Vietnam,SE ASIA,1491,1332,75
EVEREST TEXTILES CHINA,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,197 Baisha Road Xinghuo Development Zone,Shanghai,Shanghai,200000,China,N ASIA,514,402,47
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jl Sukabumi Cianjur KM14 Sukabumi West Java,Sukabumi,Jawa Barat,43191,Indonesia,S ASIA,16606,14633,82
COSMO-E-MART NON-WOVEN COMPANY LIMITED,MATERIALS,Footwear,Nike,,COSMOPOLITAN TEXTILE,Road 1 Duc Hoa Ha Industrial Park,Duc Hoa District,Long An,850000,Vietnam,SE ASIA,58,36,4
DONGJIN TEXTILE VINA,MATERIALS,Footwear,Nike,,DONGJIN,LOT D8 1 ROAD NO 2,Dong Nai,Ðng Nai,76123,Vietnam,SE ASIA,210,150,35
Almaxtex Tekstil Sanayi ve Ticaret A.S.,FINISHED GOODS,Apparel,Nike,,YESIM,Karapinar Mah Ankara Yolu Cad,Bursa,Bursa,16580,Turkey,EMEA,3671,2122,53
"Chun Yu Ribbon ENT Co., Ltd.",MATERIALS,Apparel,Nike,,CHI YANG RIBBON,"No 557 Sec, 4 Zhangshui Rd, Pitou Township",Changhua,Changhua,523,Taiwan,N ASIA,131,112,71
Cygnus Investments S.A. de C.V.,FINISHED GOODS,Apparel,Nike,Collegiate,CYGNUS,Km 30 and a half Carretera al Aeropuerto Internacional,Olocuilta,La Paz,1608,El Salvador,AMERICAS,468,403,50
"Walt Technology Group Co., Ltd.",FINISHED GOODS,Equipment,Nike,,ZHEJIANG WALT,48 Shijing Road,Haining,Zhejiang,314400,China,N ASIA,865,392,85
"Pinghu Lipai Bags and Luggage Co., Ltd.",FINISHED GOODS,Apparel,Nike,,PINGHU LIPAI,No123 Hehe Road,Pinghu,Zhejiang,314200,China,N ASIA,184,152,75
MAS Fabrics (Private) Limited - Matrix,MATERIALS,Footwear,Nike,,MAS HOLDINGS,MAS Fabric park,Warakapola,Kegalla,71610,Sri Lanka,S ASIA,985,689,46
AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,FINISHED GOODS,Footwear,Converse,,HUALI,Thien Huong Commune,Hai Phong,Hai Phong,180000,Vietnam,SE ASIA,5946,5310,84
RAMATEX INDUSTRIAL SUZHOU LTD,FINISHED GOODS,Apparel,Nike,,RAMATEX,88 SU HONG XI LU SUZHOU INDUSTRIAL PARK,Suzhou,Jiangsu,215021,China,N ASIA,434,367,92
TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA),FINISHED GOODS - COMPONENTS,Footwear,Nike,,TKG ECO MATERIAL,11 Noksansandan 382ro 49beongil Gangseogu,Busan,Busan Gwangyeogsi,46756,South Korea,N ASIA,247,137,6
"NINGBO SHENZHOU KNITTING CO., LTD",MATERIALS,Apparel,Nike,Collegiate,SHENZHOU,No 18 Yongjiang Rd,Ningbo,Zhejiang,315800,China,N ASIA,5434,4955,38
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,Footwear,Nike,,DASS,"RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO",Ivoti,Rio Grande do Sul,,Brazil,AMERICAS,44,22,40
"Avery Dennison (Suzhou) Co.,Ltd ",MATERIALS,Apparel,Nike,,AVERY DENNISON,No 56 Yangpu Road,Suzhou,Jiangsu,215024,China,N ASIA,855,585,49
Far Eastern Apparel (Vietnam) Limited,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,No 46 Dai Lo Tu Do Vietnam Singapore Industrial Park,Thuan An,Bình Duong,75000,Vietnam,SE ASIA,3798,2914,65
Sabrina Cambodia Garment Manufacturing,FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,National Rd,Samrong Torng District,Otdar Mean Chey,13256,Cambodia,SE ASIA,5887,4211,93
"U.S. Embroidery, LLC",FINISHED GOODS,Apparel,Nike,,US EMBROIDERY,25999 SW Canyon Creek Rd,Wilsonville,Oregon,97070,USA,AMERICAS,21,20,79
Asena 4,FINISHED GOODS,Apparel,Nike,Collegiate,YESIM,LENIN STREET  243a,"KONGAZ,COMRAT",Gagauzia-- Unitate,3815,Moldova,EMEA,670,537,97
Interloop Limited Apparel Park,FINISHED GOODS,Equipment,Nike,,INTERLOOP,Bypass Khurrianwala,Faisalabad,Punjab,37630,Pakistan,S ASIA,2273,1945,11
Guangzhou Yisetong Clothing Co.Ltd,FINISHED GOODS,Apparel,Nike,,GUANGZHOU YISETONG,Jinshan Industrial Park 8 building 4F,Guangzhou,Guangdong,511400,China,N ASIA,5,4,3
Textil H.J.Hering Ltda,FINISHED GOODS,Apparel,Nike,,TEXTIL H.J. HERING,Rua Rio de Janeiro 965  Bairro dos Estados,Indaial,Santa Catarina,,Brazil,AMERICAS,283,264,79
EVEREST TEXTILES THAILAND-V,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,49 Moo 1 Taladnadwatsoifa Road,Banpong,Ratchaburi,70110,Thailand,SE ASIA,479,391,36
"WUXI BROTHERS PACKAGING CO., LTD ",FINISHED GOODS,Equipment,Nike,,"WUXI BROTHERS PACKAGING CO., LTD",No 88,Wuxi,Jiangsu,214199,China,N ASIA,19,13,57
Fairway Enterprises Company Ltd (India Branch) - Unit 1,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot no G 1B SIPCOT Industrial Park,KRISHNAGIRI,Tamil Nadu,635304,India,S ASIA,4721,4696,54
Vertical Knits S.A. de C.V. (MDC - Tizimin),FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS,tablaje catastral 2669 SN CP 97702,Tizimin,Yucatán,97702,Mexico,AMERICAS,952,731,43
Vertical Knits S.A. de C.V. (MDC - Campeche),FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS S.A,Avenida Baja Velocidad No 108,Colonial Campeche,Campeche,24087,Mexico,AMERICAS,468,372,79
YICHANE CO.LTD,FINISHED GOODS,Equipment,Nike,,YICHANE,NO34 LANE 172 CHENGSI ST,Tainan,Tainan,709,Taiwan,N ASIA,27,14,11
KURARAY CO LTD (CLARINO) (TR1) (TR1) (TAIWAN),MATERIALS,Footwear,Nike,,KURARAY,1 2 1  Kaigan dori  Minami ku,Osaka,Ôsaka,7.0286e+006,Japan,N ASIA,1700,1400,40
Zentrix Huamantla,FINISHED GOODS,Apparel,Nike,,ZENTRIX,Calle Virgen de la Caridad 1,Huamantla,Tlaxcala,90500,Mexico,AMERICAS,1402,971,67
"TKG TAEKWANG INDUSTRY CO., LTD.",FINISHED GOODS,Footwear,Nike,,TAEKWANG,258 9 AN DONG,GIMHAE,Gyeongsangnamdo,62120,South Korea,N ASIA,855,282,63
Far Eastern New Apparel (Vietnam) Ltd (MDC),FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,"D1 Street, Bac Dong Phu Industrial Park",Binh Phuoc,Bình Phuc,83000,Vietnam,SE ASIA,3379,2431,78
"Thai Sock Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,THAI SOCKS,29 1 Moo 4,Prapradaeng,Samut Prakan,10130,Thailand,SE ASIA,326,246,75
Marbelys,FINISHED GOODS,Apparel,Nike,,MARBELYS,4ta Calle Final 4 00 zona 2,San Pedro Sacatepequez,Guatemala,1058,Guatemala,AMERICAS,198,192,56
PPSEC COMPANY LIMITED,FINISHED GOODS - COMPONENTS,Apparel,Nike,,SEC ACCESSORIES,Phnom Penh Special Economic Zone,Phnom Penh,Phnom Penh,120907,Cambodia,SE ASIA,592,509,6
"FASHION GARMENTS MEKONG CO., LTD",FINISHED GOODS,Apparel,Nike,,FASHION GARMENTS,818B Highway 30 Hamlet 3 An Hoa Commune,Tam Nong,Ðng Tháp,870000,Vietnam,SE ASIA,1852,1702,66
PROMAX TEXTILE (VIETNAM) CO. LTD,MATERIALS,Apparel,Nike,,PROMAX TEXTILE,NO 33 6TH ROAD FORMOSA ZONE,Dong Nai,Ðng Nai,76000,Vietnam,SE ASIA,878,802,20
Hi-Tech Savannakhet Apparel Sole Company Limited,FINISHED GOODS,Apparel,Nike,,HI TECH,Lot 241 242 245 246,Phomvihane,Savannakhét,13000,Laos,SE ASIA,276,204,0
"Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.",FINISHED GOODS,Apparel,Nike,,HI TECH,9 Moo 11 Tambol Naseiw,Muang,Chaiyaphum,36000,Thailand,SE ASIA,1007,739,57
ECI ELASTIC CO LTD,MATERIALS,Apparel,Nike,,ECI,No 13 15 Shin Yeh Rd,Changhua,Changhua,506,Taiwan,N ASIA,191,90,60
YRC TEXTILE,MATERIALS,Apparel,Nike,,YRC TEXTILE,134 Moo 6 Sathakit 1 St Road,Kratoomband,Samut Sakhon,74130,Thailand,SE ASIA,2745,1668,56
"Viet Hong Garment Export Co., Ltd.",FINISHED GOODS,Apparel,Nike,,SOUTH ISLAND,425B Nguyen Dinh Chieu St W 8,Ben Tre,Bn Tre,1.50513e+008,Vietnam,SE ASIA,1522,1303,68
SIMONA TANNING (ZHONGSHAN) CO. LIMITED,MATERIALS,Footwear,Nike,,SIMONA TANNING,Fu Ze 2nd Street Fu Ze Road,Zhongshan,Guangdong,528445,China,N ASIA,246,157,0
VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED,MATERIALS,Apparel,Nike,,JOV GARMENT ACCESSORIAL MATERIAL,LOT TMDV1  UYEN HUNG COMMERCIAL SERVICE AND RESIDENTIAL AREA QUARTER 7,Tan Uyen,Bình Duong,75406,Vietnam,SE ASIA,60,48,0
"Suzhou Blue Seagull Fashion Co., Ltd",FINISHED GOODS,Equipment,Nike,,SUZHOU BLUE SEAGULL FASHION,Liantang Industrial Concentration Zone Eastern District,Changshu,Jiangsu,215551,China,N ASIA,48,38,30
Longway Vietnam Company Limited,FINISHED GOODS,Equipment,Nike,,LONGWAY,Lot HC1 and Lot 01HC2 Route 3,Duc Hoa,Long An,863900,Vietnam,SE ASIA,1073,945,76
SADESA THAILAND (KABINBURI),MATERIALS,Footwear,Nike,,SADESA,139 2 MOO 5 SUWANASSORN ROAD TAMBON NONSRI,Kabinburi,Prachin Buri,25110,Thailand,SE ASIA,735,577,32
"MARVEL GARMENT CO.,LTD.",FINISHED GOODS,Apparel,Nike,,SHENZHOU,PPSEZ Beung Thom 3 village,Phnom Penh,Phnom Penh,120909,Cambodia,SE ASIA,17415,15944,88
"Asia Caps (Thailand) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,ASIA CAPS,6Anamai Ngamcharoen Road Thakam Bangkhunthien,Bangkok,Bangkok,10150,Thailand,SE ASIA,178,133,0
SAN FANG (TR1) (INDONESIA),MATERIALS,Footwear,Nike,,SAN FANG,JL MODERN INDUSTRI IV NO 10 12 16 18,"Serang , Banten",Banten,42185,Indonesia,S ASIA,487,396,20
Ramatex Textiles Industrial Sdn Bhd,MATERIALS,Apparel,Nike,,RAMATEX,PLO 230 Sri Gading Industrial Estate,Johor,Johor,83000,Malaysia,S ASIA,3678,3301,15
NAN YANG,MATERIALS,Apparel,Nike,,NAN YANG,19 Moo 5 Setakit Road Tamai,Krathoomban,Samut Sakhon,74000,Thailand,SE ASIA,584,435,46
VIMAL CLOTHING ENTERPRISE CC,FINISHED GOODS,Apparel,Nike,,VIMAL CLOTHING,4 Fairways Avenue,Durban,Kwazulu-Natal,4300,South Africa,EMEA,195,187,90
framas Korea,FINISHED GOODS - COMPONENTS,Footwear,Nike,,FRAMAS,1426 Nakdong Street,Busan,Busan Gwangyeogsi,46904,South Korea,N ASIA,32,11,10
TKG TAEKWANG CAN THO COMPANY LIMITED,FINISHED GOODS,Footwear,Nike,,TAEKWANG,Hung Phu 2B Industrial Park Phu Thu ward,Cai Rang,Can Tho,900000,Vietnam,SE ASIA,14672,14277,64
GILDAN HOSIERY RIO NANCE S de R.L.,FINISHED GOODS,Equipment,Nike,,GILDAN,ZOLI Gildan Honduras Properties Kilometro 15 and 5 ,Choloma,Cortés,21112,Honduras,AMERICAS,2247,2175,21
